x,y
6.25,4.1088000000000005
48.0,24.5
48.0,24.5
7.68,3.9079260000000007
48.0,24.3
19.0,9.610000000000001
16.0,7.7
16.0,7.7
16.0,7.182400000000001
36.0,15.1828
36.0,15.182799999999997
36.0,15.182799999999997
5.0,2.1
5.0,2.1
81.0,31.938200000000002
81.0,31.938200000000002
81.0,31.938200000000002
25.0,9.7636
25.0,9.7636
25.0,9.7636
16.0,6.2
3.8809,1.5
31.109999999999996,12.0
9.0,3.4484999999999997
16.0,6.0604000000000005
39.677401,14.830201
16.0,5.8528
36.0,12.6736
81.0,28.344599999999996
81.0,28.344599999999996
1.3224999999999998,0.45472
16.0,5.5
30.0,10.2
36.0,12.1114
36.0,12.1114
16.0,5.309499999999999
8.7616,2.7889
8.4,2.66
3.8024999999999998,1.1703
36.0,11.055
9.0,2.7556
24.0,7.3
9.0,2.7
48.720400000000005,14.448
1.92,0.5529510000000001
20.0,5.626600000000001
16.0,4.5
16.0,4.5
16.0,4.5
16.0,4.5
16.0,4.5
9.0,2.5
4.680000000000001,1.3
4.680000000000001,1.3
25.0,6.932500000000001
36.0,9.7
36.0,9.7
36.0,9.7
36.0,9.7
36.0,9.651800000000001
36.0,9.6
36.0,9.6
3.0,0.8
49.0,13.035799999999998
15.75,4.1
6.2,1.61
12.4,3.2199999999999998
50.41,12.9
81.0,20.5821
81.0,20.5821
35.4025,8.99
9.0,2.25
81.0,19.360000000000003
16.0,3.7809999999999997
9.0,2.1140000000000003
1.3224999999999998,0.31007999999999997
16.0,3.7
27.49,6.28
9.0,2.0
16.0,3.4944
81.0,17.55
100.0,21.639200000000002
30.0,6.435
29.173200000000005,6.1812000000000005
27.2,5.713358
64.0,13.115
12.0,2.447607
8.7025,1.7680000000000002
9.0,1.8199999999999998
30.0,5.9
36.0,7.0434
9.0,1.7440000000000002
14.0,2.7
36.44895529,6.84537165
30.0,5.5
1.3224999999999998,0.216618
83.25,13.27
144.0,22.090000000000003
9.0,1.3
9.0,1.3
9.0,1.3
9.0,1.3
29.400000000000002,4.10248947
8.9999,1.2495
27.2,3.7345550000000003
9.0,1.2
30.0,3.9
30.0,3.9
30.0,3.9
39.58090000000001,4.8841
36.0,4.4
55.0,6.3
16.0,1.8
16.0,1.8
178.22000000000003,19.7
178.22000000000003,19.7
4.0,0.42854400000000004
144.0,14.6464
25.0,2.4
6.25,0.5959800000000001
36.0,3.4225000000000003
16.0,1.5
23.203489,2.156336
25.0,2.2880000000000003
2.4025000000000003,0.2025
50.9894,4.2
50.9894,4.2
8.4624,0.6960000000000001
33.9889,2.79
5.7915,0.432
81.0,5.9799999999999995
4.2025,0.30694
8.7696,0.6375
5.8408,0.42
4.41,0.290848
49.0,2.9519999999999995
1.3224999999999998,0.078336
30.5,0.77
92.16,1.131
