x,y
30.0,15.336
64.0,17.64
38.76805696,10.68047761
273.24,59.85
134.56,26.009999999999998
46.908801000000004,8.987656
43.9569,8.036
77.64076996000001,13.57996201
166.99875984000002,29.088763559999997
109.725625,18.391330999999997
392.04,60.9
48.790200000000006,7.2098
48.790200000000006,7.2098
45.212176,6.620329
100.0,12.1545
49.0,5.8
87.590881,10.032386
44.89,4.839416279999999
571.2099999999999,44.199999999999996
103.77496899999998,5.982916000000001
190.44000000000003,10.56
102.00959999999999,5.3345
102.00959999999999,5.3345
46.239999999999995,2.2769999999999997
196.0,9.0
749.9362,27.279600000000002
400.0,14.4598923
