x,y
9.288,9.288
6.362400000000001,6.362400000000001
5.016,5.016
3.5724,3.5724
1.5336,1.5194
15.760900000000001,15.586700000000002
24.5154,24.052464
4.536899999999999,4.439424
1.5625,1.5246
2.9,2.82
7.017600000000001,6.8109280000000005
9.912700000000001,9.52
12.9948,12.446663000000001
2.301,2.193
1.6275000000000002,1.55
5.522500000000001,5.2392
7.0956,6.651504
7.0956,6.651504
4.41,4.120899999999999
15.444,14.234323999999999
6.944165,6.268941000000001
7.017600000000001,6.1526700000000005
20.9,17.784
9.36,7.1047579999999995
2.5600000000000005,1.8897120000000003
11.635299999999999,8.066625
1.455,0.9409
2.7784,1.764928
1.8369,1.060542
6.002500000000001,2.863817
6.25,2.6100359999999996
12.42,4.59885
9.36,1.8617679999999996
4.838400000000001,0.453472
