x,y
149.5,533.5545
150.0,507.74
9.424999999999999,9.424999999999999
13.9769,13.5
13.9769,13.5
30.06,28.934595
6.25,5.902398
6.25,5.824952
31.799999999999997,29.25544
6.25,5.716865
11.2081,10.1
11.2081,10.1
5.8,5.161863
149.5,132.72
99.0,86.58
6.25,5.4545580000000005
32.76,26.25
30.0,24.024641
2.38,1.8126
3.6838759999999997,2.8
3.6838759999999997,2.8
7.5,5.7
7.5,5.7
1.7999999999999998,1.255
2.056704,1.4
2.056704,1.4
112.0,72.32000000000001
7.5,4.824945
36.0,22.5625
149.5,93.1656
99.75,62.0
99.0,61.410000000000004
1.936,1.2
1.936,1.2
1.936,1.2
1.936,1.2
1.936,1.2
1.936,1.2
1.936,1.2
3.2,1.9723549999999999
1.92,1.17612
16.0,9.676472
16.0,9.672348
2.6599999999999997,1.6
149.5,89.89999999999999
82.5,48.875
97.5,57.3054
107.704155,60.506049999999995
16.11,8.69
99.0,51.745
25.0,12.950000000000001
16.0,8.01738
148.8,71.03086900000001
64.0,29.4216
82.16000000000001,37.0265
84.0,37.0265
12.0,5.047000000000001
9.0,3.7216000000000005
168.0,68.031456
169.0,68.4
6.25,2.4320000000000004
99.0,38.2956
169.0,63.8746
110.0,41.4285
169.5203,62.4105
169.25969999999998,62.15103979
112.0,40.04
10.56,3.745496
100.0,34.68
97.5,33.800000000000004
64.0,21.849999999999998
64.0,21.849999999999998
50.41,17.162
50.41,17.162
112.0,37.5
117.0,39.0
16.0,5.250102
117.0,37.725
117.0,37.725
111.4206,35.49320625
118.24996499999999,37.634288
18.06,5.68
121.0,38.0484
97.5,28.6527
97.5,28.6527
97.5,28.65
841.0,246.26
9.0,2.6228
150.0,43.71000000000001
150.0,43.374100000000006
150.0,43.374100000000006
168.0,46.800000000000004
24.75,6.8050521
99.75,26.7534
9.0,2.338
100.10000000000001,25.977600000000002
841.0,215.9158
841.0,215.9158
64.0,16.073
36.0,9.0
6.25,1.469004
97.5,22.63
121.0,27.5
121.0,27.5
225.0,50.459999999999994
97.5,21.8
125.43999999999998,27.9064
24.8712,5.475575
100.0,21.34
169.0,35.611999999999995
97.7802,20.5344
169.0,34.44
225.0,45.3474
1089.0,218.95
104.0,20.7612
100.0,19.740000000000002
100.0,19.740000000000002
100.0,19.740000000000002
97.5,19.126
625.0,120.0
10.05,1.804932
144.0,25.75
85.0,15.163
529.0,93.73
119.21,20.7612
441.0,76.55999999999999
841.0,137.86
60.720000000000006,9.870000000000001
9.0,1.44
144.0,22.8
144.0,22.8
841.0,132.25
196.0,30.24
196.0,30.1644
870.25,133.1424
121.0,18.354000000000003
121.0,18.354000000000003
121.0,18.354
64.0,9.6
169.0,25.227999999999998
169.0,25.227999999999998
361.0,53.29
48.0,7.0200000000000005
247.464361,36.108081000000006
1406.25,200.184
841.0,118.81
841.0,116.857
841.0,116.39000000000001
625.0,85.49000000000001
841.0,107.47439999999999
118.81,14.934
64.0,7.800000000000001
64.0,7.800000000000001
625.0,71.0
1225.0,138.88
81.0,9.008999999999999
81.0,9.008999999999999
449.44,49.879999999999995
1030.2109896099998,109.48483225
650.25,68.0
358.913,36.51079984
169.0,16.0
289.0,27.029999999999998
729.0,66.92999999999999
9.0,0.8
9.0,0.8
9.0,0.8
9.0,0.8
625.0,55.4148
225.0,18.354000000000003
225.0,18.354000000000003
29.24,2.23189
121.0,9.1
361.0,27.040000000000003
289.0,21.0
225.0,16.080000000000002
1413.7600000000002,99.98939999999999
6.25,0.423936
729.0,34.185
361.0,15.989999999999998
361.0,14.9769
373.68756099999996,14.43707748
361.0,11.1556
117.0,3.3
