x,y
75.78,67.86
4.35,2.0608000000000004
27.5481,12.096
27.5481,12.096
16.477884,7.194317999999999
28.5684,11.9892
254.79999999999998,85.701
257.59999999999997,86.58
258.03000000000003,84.96000000000001
220.79999999999998,72.07600000000001
9.0,2.7
43.120000000000005,12.9024
20.3515,5.724
19.0,5.34
19.939799999999998,5.5806
4.116,1.1340000000000001
259.86,68.62
9.0,2.3701000000000003
19.0,4.7376
219.60000000000002,53.6068
240.0,56.13
18.288,4.0
8.399999999999999,1.6897999999999997
19.20608507,3.7421352
220.79999999999998,42.3163
220.79999999999998,42.3163
4.800000000000001,0.9180000000000001
44.717443200000005,8.2545809
4.800000000000001,0.8325
1.7360000000000002,0.3008
36.162,6.06
36.162,6.06
4.6739999999999995,0.7
258.03000000000003,37.4
22.7268,3.242123
42.0434,5.8016000000000005
11.25,1.5515
10.9716,1.46
20.5535,2.7340539
20.5535,2.7340539
19.7382,2.6245
29.28,3.5200000000000005
9.0,1.0458
23.0,2.6569
41.709999999999994,4.767399999999999
8.902999999999999,0.9715
12.0,1.3
219.60000000000002,22.4025
222.8868,22.075200000000002
13.200000000000001,1.3
13.200000000000001,1.27
19.492700000000003,1.8683
20.7872,1.9188
258.03000000000003,22.95
181.57841534,15.450532999999998
18.904872479999998,1.59788805
9.0,0.705
64.8664057,5.032843559999999
22.739500000000003,1.7535
15.840000000000002,1.18162758
57.4427,4.2075
57.4427,4.2075
57.4427,4.2075
19.531512,1.4248880000000002
61.1576,4.1586
22.0,1.4
62.3964,3.8422419999999997
62.3964,3.8422419999999997
15.9665184,0.9737364
20.2608,1.2317
19.571400000000004,1.1760000000000002
22.0,1.3
18.0,1.0595365
30.240000000000002,1.72733932
20.16,1.14598526
27.029999999999998,1.5
35.52,1.93811708
7.5893999999999995,0.4096
75.6,4.050000000000001
186.0,9.86
4.64,0.24
3.0,0.1444
22.5,1.0499999999999998
30.240000000000002,1.3565728000000001
34.9757,1.5552000000000001
34.745400000000004,1.5125
18.75,0.806
15.840000000000002,0.6793966499999999
35.89,1.3565728000000001
22.36,0.7998000000000001
22.0,0.75
35.98923,1.0360399999999998
26.956691999999997,0.772641
4.64,0.12
4.64,0.12
4.64,0.12
4.64,0.12
30.240000000000002,0.69838153
31.080000000000002,0.69838153
18.75,0.39690000000000003
19.75,0.3844
31.450000000000003,0.5647802399999999
31.080000000000002,0.55380836
30.240000000000002,0.41473403999999997
31.450000000000003,0.34737635
15.07259322,0.15626209
31.450000000000003,0.3079584
